TR:Cell:CellLine,TR:egf,TR:tnfa,TR:pi3ki,TR:raf1i,DA:raf1,DA:erk,DA:ap1,DA:gsk3,DA:p38,DA:nfkb,DV:raf1,DV:erk,DV:ap1,DV:gsk3,DV:p38,DV:nfkb
1,0,0,0,0,0,0,0,0,0,0,0.113273458,0.157629482,0.165686548,0.900470819,0.107672569,0.135582705
1,1,0,0,0,0,0,0,0,0,0,0.161252619,0.136127386,0.132165733,0.973463471,0.126018911,0.137593912
1,0,1,0,0,0,0,0,0,0,0,0.18118642,0.171172805,0.069216889,0.833938898,0.143094829,0.111949527
1,1,1,0,0,0,0,0,0,0,0,0.204532136,0.075609551,0.16402037,0.83166228,0.145759195,0.187964898
1,1,0,1,0,0,0,0,0,0,0,0.16324977,0.147945527,0.157562806,0.934339135,0.086896169,0.153629572
1,0,1,1,0,0,0,0,0,0,0,0.158026707,0.136434731,0.180032868,0.848411795,0.226635572,0.15556591
1,1,1,1,0,0,0,0,0,0,0,0.135451913,0.153500205,0.135521064,0.89481319,0.05830718,0.133181325
1,1,0,0,1,0,0,0,0,0,0,0.082807004,0.115530747,0.147297449,0.962855757,0.144970489,0.188848398
1,0,1,0,1,0,0,0,0,0,0,0.133160344,0.153239082,0.098038148,0.852769287,0.171006652,0.125711512
1,1,1,0,1,0,0,0,0,0,0,0.114319825,0.09963248,0.155512388,0.968806568,0.105584024,0.083550813
1,0,0,0,0,2,2,2,2,2,2,0.198299667,0.140645582,0.175126149,0.904183049,0.094413478,0.214599563
1,1,0,0,0,2,2,2,2,2,2,0.602498653,0.763488384,0.305469399,0.641274819,0.152680489,0.182447362
1,0,1,0,0,2,2,2,2,2,2,0.155188125,0.147881622,0.380404874,0.940715143,0.184757911,0.740173257
1,1,1,0,0,2,2,2,2,2,2,0.657885557,0.720306337,0.364615678,0.622286802,0.187638999,0.705852669
1,1,0,1,0,2,2,2,2,2,2,0.692530243,0.801365631,0.280240963,0.887692802,0.112033162,0.198296597
1,0,1,1,0,2,2,2,2,2,2,0.143369979,0.131457095,0.392918862,0.880872231,0.19777232,0.745405859
1,1,1,1,0,2,2,2,2,2,2,0.669624661,0.837450417,0.326696968,0.901872707,0.04859938,0.624857712
1,1,0,0,1,2,2,2,2,2,2,0.175648722,0.129299364,0.36266489,0.627175393,0.131089441,0.19785061
1,0,1,0,1,2,2,2,2,2,2,0.119595368,0.163255646,0.34708573,0.903120838,0.088607025,0.691261127
1,1,1,0,1,2,2,2,2,2,2,0.164973809,0.170214992,0.242168331,0.555841739,0.166428234,0.702749483
1,0,0,0,0,4,4,4,4,4,4,0.092998769,0.066336993,0.108561619,0.937502167,0.144800969,0.182535084
1,1,0,0,0,4,4,4,4,4,4,0.857535183,0.833476326,0.612769544,0.464345142,0.165753249,0.140449005
1,0,1,0,0,4,4,4,4,4,4,0.073259441,0.152377506,0.51660454,0.849942037,0.093956969,0.431710911
1,1,1,0,0,4,4,4,4,4,4,0.872738158,0.799038863,0.583169724,0.412469896,0.192409925,0.479626065
1,1,0,1,0,4,4,4,4,4,4,0.849219089,0.880458277,0.527967527,0.802023361,0.113503677,0.207166677
1,0,1,1,0,4,4,4,4,4,4,0.180409917,0.085670894,0.540090389,0.930230758,0.169823379,0.33672116
1,1,1,1,0,4,4,4,4,4,4,0.856992296,0.879297104,0.459154484,0.903414861,0.20142266,0.399153486
1,1,0,0,1,4,4,4,4,4,4,0.165613093,0.150840211,0.475498263,0.479631781,0.088754461,0.142197376
1,0,1,0,1,4,4,4,4,4,4,0.209860031,0.165299617,0.486570192,0.901327099,0.151101452,0.388924465
1,1,1,0,1,4,4,4,4,4,4,0.154564391,0.135050705,0.530763641,0.428506056,0.176075009,0.467633006
1,0,0,0,0,6,6,6,6,6,6,0.12164888,0.113275747,0.154030167,0.962228554,0.102240309,0.137193114
1,1,0,0,0,6,6,6,6,6,6,0.783927472,0.871981281,0.59131941,0.251601813,0.211801219,0.169721031
1,0,1,0,0,6,6,6,6,6,6,0.132224226,0.149916347,0.690419079,0.935403108,0.117126339,0.418182461
1,1,1,0,0,6,6,6,6,6,6,0.835764563,0.887775188,0.716701985,0.292251989,0.308852398,0.388421648
1,1,0,1,0,6,6,6,6,6,6,0.818808666,0.868825383,0.645466607,0.874172876,0.155468837,0.137802785
1,0,1,1,0,6,6,6,6,6,6,0.120417751,0.147403264,0.622008291,0.886669384,0.131479063,0.381500531
1,1,1,1,0,6,6,6,6,6,6,0.828737278,0.839321654,0.623408601,0.858590905,0.351063191,0.364826878
1,1,0,0,1,6,6,6,6,6,6,0.116666286,0.160740904,0.662250938,0.341218634,0.119140462,0.198263439
1,0,1,0,1,6,6,6,6,6,6,0.10873692,0.140194797,0.655757376,0.870859965,0.09199577,0.378069209
1,1,1,0,1,6,6,6,6,6,6,0.167029693,0.069299002,0.665663276,0.254923899,0.385414978,0.39518933
1,0,0,0,0,8,8,8,8,8,8,0.219598244,0.172366261,0.220727668,0.891963156,0.130633345,0.149875573
1,1,0,0,0,8,8,8,8,8,8,0.744910251,0.819627848,0.7289923,0.247983196,0.173445073,0.133543752
1,0,1,0,0,8,8,8,8,8,8,0.184343173,0.14962431,0.732988594,0.894412301,0.161548324,0.69435747
1,1,1,0,0,8,8,8,8,8,8,0.814455911,0.953856102,0.73995314,0.172311047,0.36462333,0.676058776
1,1,0,1,0,8,8,8,8,8,8,0.807566234,0.896200965,0.719259776,0.943349097,0.181988624,0.090986344
1,0,1,1,0,8,8,8,8,8,8,0.126979408,0.153591882,0.750872445,0.944602384,0.166072444,0.725105857
1,1,1,1,0,8,8,8,8,8,8,0.788396843,0.852920386,0.726446711,0.881359891,0.401837996,0.714239986
1,1,0,0,1,8,8,8,8,8,8,0.120267305,0.15630946,0.643622208,0.206535174,0.11793904,0.178128506
1,0,1,0,1,8,8,8,8,8,8,0.130480049,0.19814509,0.723540392,0.891066336,0.184775119,0.790042284
1,1,1,0,1,8,8,8,8,8,8,0.17194901,0.173625672,0.770749149,0.245980427,0.424782117,0.72558668
